3/1/2023 12:03 | \errorHandler.js(37) | bbnzfHrIHiFbT6vnRhiFucXBqJmFVKOd | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"storeList is not defined","stack":"ReferenceError: storeList is not defined\n    at OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:45:67)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)"}
3/1/2023 12:03 | \errorHandler.js(37) | FHS7PpjnQlBnvpcfNT0GACGXFSZBNH2E | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"storeList is not defined","stack":"ReferenceError: storeList is not defined\n    at OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:45:67)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)"}
3/1/2023 12:03 | \errorHandler.js(37) | F1XFF3OlqAyy8KMWK4YjZEcI1A1blejP | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"storeList is not defined","stack":"ReferenceError: storeList is not defined\n    at OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:45:67)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)"}
3/1/2023 12:04 | \errorHandler.js(37) | oO7lrv4vPDpIw9NoTVDhg0ymNPt0PeqB | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"storeList is not defined","stack":"ReferenceError: storeList is not defined\n    at OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:45:67)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)"}
3/1/2023 12:24 | \errorHandler.js(37) | FuqOx8dcyxDtNyr1Gy1kipwCkoo4zWJl | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"ReferenceError: docs is not defined","stack":"Error: ReferenceError: docs is not defined\n    at OrderService.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\order.service.js:61:11)\n    at OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:50:45)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)"}
3/1/2023 12:28 | \errorHandler.js(37) | dotWU19mDGOkZz4WsbmAvue5b3oU3A8m | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"ReferenceError: docs is not defined","stack":"Error: ReferenceError: docs is not defined\n    at OrderService.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\order.service.js:66:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:50:17)"}
3/1/2023 12:30 | \errorHandler.js(37) | l7r3CeNInFSsO5d1ICnKnmQ3HBaTBn8m | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"ReferenceError: docs is not defined","stack":"Error: ReferenceError: docs is not defined\n    at OrderService.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\order.service.js:68:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:50:17)"}
3/1/2023 12:42 | \errorHandler.js(37) | kFv3kBWGggphyK5gAaS9ThaNRdsuV1Fy | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'products' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'products' in 'field list'\n    at OrderService.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\order.service.js:84:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:50:17)"}
3/1/2023 12:43 | \errorHandler.js(37) | Vzc2snVx3drhUbxk43XReIH7QI3fmORs | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'products' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'products' in 'field list'\n    at OrderService.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\order.service.js:84:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:50:17)"}
3/1/2023 12:46 | \errorHandler.js(37) | C3g4vviMmDkDInKBYZhN8p0xcANBQNYN | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"ReferenceError: price is not defined","stack":"Error: ReferenceError: price is not defined\n    at OrderService.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\order.service.js:84:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:50:17)"}
